Start date,Residual load [MWh] Calculated resolutions,action
2026-09-06 03:00:00,12359.19,hold
2026-09-06 04:00:00,15134.76,hold
2026-09-06 05:00:00,18112.88,hold
2026-09-06 06:00:00,20017.06,hold
2026-09-06 07:00:00,19734.16,hold
2026-09-06 08:00:00,14308.82,hold
2026-09-06 09:00:00,5348.38,hold
2026-09-06 10:00:00,-2786.3,charge
2026-09-06 11:00:00,-5951.84,charge
2026-09-06 12:00:00,-7842.68,charge
2026-09-06 13:00:00,-8399.15,charge
2026-09-06 14:00:00,-8345.97,charge
2026-09-06 15:00:00,-4226.51,charge
2026-09-06 16:00:00,1590.9,hold
2026-09-06 17:00:00,16677.86,hold
2026-09-06 18:00:00,33891.46,discharge
2026-09-06 19:00:00,41450.87,discharge
2026-09-06 20:00:00,41538.44,discharge
2026-09-06 21:00:00,36292.2,discharge
2026-09-06 22:00:00,30809.08,discharge
